Group,Song,Lyrics
a1,I Still Believe,"

The sun went down so long ago 
I watched you cry I had to go 
Forever only lasted just a day 
And now without you by my side 
The visions of a lonely life 
Take me to a dream in a place so far away 
 
I see an angel and I think of you 
I watch her hide behind a smile 
And then I think of what I have to do 
If only I had listened for a while 
 
I still believe, I still believe 
A love so strong will carry on 
You know there's so much to be seen 
I still believe, I still believe 
It's not the end, let's start again 
I still believe 
 
The emptiness of what could be 
Shows everything you mean to me 
It started out a game I'd never played 
If I defy the foolish pride 
And find that place so deep inside 
Take me to my dream, I know I have to stay 
 
I see a rainbow and I think of you 
Of what we had, of what we were 
And then I think of what I have to do 
If only I had listened for a while 
 
I still believe, I still believe 
A love so strong will carry on 
You know there's so much to be seen 
I still believe, I still believe 
It's not the end let's start again 
I still believe 
 
Everybody's always asking me why 
Why I did, what I did to make you cry 
Please believe me when I say what I say 
I didn't mean to go away 
At the time I couldn't stay 
 
I see an angel and she sees me too 
And as she wipes a teary eye 
I know exactly what I have to do 
To start a new beginning in my life 
 
I still believe, I still believe 
A love so strong will carry on 
You know there's so much to be seen 
I still believe, I still believe 
It's not the end let's start again 
I still believe 
You know I still believe 
 
It's not the end, let's start again 
I still believe
"
a1,Heaven By Your Side,"

You and I, cannot hide 
The love we feel inside 
The words we need to say 
I feel that I have always walked alone 
But now that you're here with me 
There'll always be a place that I can go 
 
Suddenly our destiny has 
Started to unfold 
When you're next to me, I can see 
The greatest story love has ever told 
 
Now my life is blessed with the love of an angel 
How can it be true? 
Somebody to keep the dream alive 
The dream I found in you 
I always thought that love would be the strangest thing to me 
But when we touch, I realize 
That I found my place in heaven by your side 
 
I could fly, when you smile 
I'd walk a thousand miles 
To hear you call my name 
Now that I have finally found the one 
Who will be there for me eternally 
My everlasting sun 
 
Suddenly our destiny has 
Started to unfold 
When you're next to me, I can see 
The greatest story love has ever told 
 
Now my life is blessed with the love of an angel 
How can it be true? 
Somebody to keep the dream alive 
The dream I found in you 
I always thought that love would be the strangest thing to me 
But when we touch, I realize 
That I found my place in heaven by your side 
That I found my place in heaven by your side 
(Heaven by your side, heaven by your side, heaven by your side) 
 
When you're next to me, I can see 
The greatest story love has ever told 
 
Now my life is blessed with the love of an angel 
How can it be true? 
Somebody to keep the dream alive 
The dream I found in you 
I always thought that love would be the strangest thing to me 
But when we touch, I realize 
That I found my place in heaven by your side 
 
Now my life is blessed with the love of an angel 
(Heaven by your side) 
Somebody to keep the dream alive 
The dream I found in you 
I always thought that love would be the strangest thing to me 
But when we touch, I realize 
That I found my place in heaven by your side
"
a1,Take On  Me,"

Talking away 
I don't know what I'm to say 
I'll say it anyway 
Today's another day to find you 
Shine away 
 
I'll be coming for your love okay 
Take on me 
(Take on me) 
Take me on 
(Take on me) 
 
I'll be gone in a day or two 
So needless to say at odds and ends 
But I'll be stumbling away 
Slowly learning that life is okay 
Say after me 
 
It's so much better to be safe than sorry 
Take on me 
(Take on me) 
Take me on 
(Take on me) 
 
I'll be gone in a day or two 
Oh, things that you say 
Yeah, is it life or just a play 
My worries away 
You're all the things I've got to remember 
You shine away 
 
I'll be coming for you anyway 
Take on me 
(Take on me) 
Take me on 
(Take on me) 
 
I'll be gone in a day or two 
Take on me 
(Take on me) 
Take me on 
(Take on me) 
 
I'll be gone in a day or two 
Take on me 
Take on me
"
a1,Same Old Brand New You,"

I can still remember the time you were there 
When I needed to hold you, feel you 
Every time I ask you to find a new way 
You lie a new way 
Is it gone, gone, gone, gone, gone 
 
You'll change 
You'll never change 
You're never never gonna keep your promises 
You'll change 
You'll never change 
You're never never gonna keep your promises 
 
You said you'd changed 
But I'm afraid 
It's something I won't live to see 
It seems so strange 
That sometimes fate 
Can appear to be so real 
And yet turn out to be a fantasy 
 
Same old lie, one more time 
Say you're gonna be, there for me 
Say you'll change, change your ways 
Never gonna keep your promises 
Same old game (You know it doesn't turn me on) 
Brand new day (You're singing that same old song) 
No more lies 
(If you don't wanna find me gone, gone, gone, gone, gone) 
 
Another night, another day 
What can I say? 
You're still the same old brand new you 
You break your promises in two 
What can I do? 
When you're the same old brand new you 
 
You'll change 
You'll never change 
You're never never gonna keep your promises 
You'll change 
You'll never change 
You're never never gonna keep your promises 
 
Because of you 
I guess we're through 
Is this the way it has to be 
I've been a fool (I've been a fool) 
A fool for you (A fool for you) 
But I've got better things to do 
Than let you walk all over me 
 
Same old lie, one more time 
Say you're gonna be, there for me 
Say you'll change, change your ways 
Never gonna keep your promises 
Same old game (You know it doesn't turn me on) 
Brand new day (You're singing that same old song) 
No more lies 
(If you don't wanna find me gone, gone, gone, gone, gone) 
 
Another night, another day 
What can I say? (What can I say?) 
You're still the same old brand new you 
You break your promises in two 
What can I do? (What can I do?) 
When you're the same old brand new you 
 
I can still remember the time you were there 
When I needed to hold you, feel you 
Every time I ask you to find a new way 
You lie a new way 
Is it gone, gone, gone, gone, gone 
 
You'll change 
You'll never change 
You're never never gonna keep your promises 
You'll change 
You'll never change 
You're never never gonna keep your promises 
 
Same old lie, one more time 
Say you're gonna be, there for me (There for me) 
Say you'll change, change your ways 
Never gonna keep your promises 
Same old game (You know it doesn't turn me on) 
Brand new day (You're singing that same old song) 
No more lies 
(If you don't wanna find me gone, gone, gone, gone, gone) 
 
Another night, another day 
What can I say? (What can I say/) 
You're still the same old brand new you 
You break your promises in two 
What can I do? (What can I do?) 
When you're the same old brand new you 
 
(Another night, another day) 
(What can I say? Another night, another day) 
Another day, you never say 
(You break your promises in two) 
Your promises, your promises in two 
(What can I do? You break your promises in two) 
Same old brand new you 
 
Another night, another day 
What can I say? (What can I say?) 
You're still the same old brand new you 
You break your promises in two 
What can I do?
"
a1,No More,"

You say you're gonna work it out 
Then you say you're having doubts 
Telling me you'll walk away 
But then you go and stay 
You're calling me day and night 
Saying he don't treat you right 
Then you always turn around 
And give him one more try 
 
Baby, you know it isn't fair 
You expect me to be there 
But we never get nowhere 
 
I've got one foot out the door 
I don't wanna hear about him no more 
I'll make a long story short 
Time to make up your mind, girl 
No more back and forth 
I don't wanna hear about him no more 
If I'm not what you want 
I don't wanna hear no more 
 
Stop telling me you need more time 
Tired of the same old line 
Better make a move or you are gonna find 
I ain't taking it 
'Cause you know it's wrong 
Better let him know it's time to go 
You're moving on 
Baby, you don't know how close 
I am to being gone 
 
Waited for you long enough 
(I can only take so much) 
Tell me if I have your heart 
(Who do you really love) 
Baby, you know it isn't fair 
You expect me to be there 
But we never get nowhere 
 
I've got one foot out the door 
I don't wanna hear about him no more 
I'll make a long story short 
Time to make up your mind, girl 
No more back and forth 
I don't wanna hear about him no more 
If I'm not what you want 
I don't wanna hear no more 
 
(I don't wanna hear no more) 
If you're sure that you really love me 
(I don't wanna hear no more) 
Out the door if you still don't know 
I've been there for you and you know it's true 
You belong with me. What you gonna do 
(I don't wanna hear no more) 
 
I've got one foot out the door 
I don't wanna hear about him no more 
I'll make a long story short 
Time to make up your mind, girl 
No more back and forth 
I don't wanna hear about him no more 
If I'm not what you want 
I don't wanna hear no more 
 
I've got one foot out the door 
I don't wanna hear about him no more 
I'll make a long story short 
Time to make up your mind, girl 
No more back and forth 
I don't wanna hear about him no more 
If I'm not what you want 
I don't wanna hear no more
"
a1,One More Try,"

Mm, hmm 
Mm, hmm 
 
Could be your eyes 
Could be your smile 
Could be the way you freed my mind 
You precious touch caressed my soul 
You gave me everything I need 
And now I'm lost 
Lost forever 
 
Lost forever 
And you said this is going nowhere, girl 
And you said I turned my back on 
You said I'm not the only one for you 
 
Please give it one more try for the sake of our love 
Let's give it one more chance 'cause I can't give you up 
I can't live one more day without you in my arms 
I could never find another like you 
 
Could be the lies 
Could be my pride 
Could be the days and nights so wild 
Could be the times I wasn't there 
And all the nights we didn't share 
And now you're lost 
Lost forever 
 
Lost forever 
And you said this is going nowhere, girl 
And you said I turned my back on 
You said I'm not the only one for you 
 
Please give it one more try for the sake of our love 
Let's give it one more chance 'cause I can't give you up 
I can't live one more day without you in my arms 
I could never find another like you 
 
I can't sleep (I can't sleep), I can't live without you by my side 
So cold (so cold) 
So lost without you as my guide 
You made me realize I'm nothing 
Nothing without you 
 
Please give it one more try for the sake of our love (one more try) 
Let's give it one more chance 'cause I can't give you up (one more chance) 
I can't live one more day without you in my arms 
I could never find another like you 
 
(One more try, one more try) 
Mm, hmm (one more try) 
Baby, give me one more try
"
a1,The Things We Never Did,"

You and me, we sit and talk of friendship then I ask 
If you can see, if we could be together forever 
I see the light die in your eyes 
'Cause you're scared you'll hurt 
So you don't wanna try 
 
Well take a chance and come home with me, you could stay for eternity 
If you try then at least you'll see 
Then you'll never regret the things we never did 
 
You turn to me, I see your eyes 
And somehow they cease to shine, you smile at me yet I can see 
You don't think we can make it 
You see the light die in my eyes 
'Cause I'm scared to lose you, I wish you would try 
 
Well take a chance and come home with me, you could stay for eternity 
If you try then at least you'll see 
Then you'll never regret the things we never did 
 
I see the light die in your eyes 
Cos you're scared you'll hurt 
So you don't want to try 
 
Well take a chance and come home with me, you could stay for eternity 
If you try then at least you'll see 
Then you'll never regret the things we never did 
 
You'll never regret the things we never did 
 
The things we never did.
"
a1,Too Bad Baby,"

Can this be? 
Is there something wrong with you and me? 
Guess we'll see 
I confess 
I don't know know how we got into this mess 
Might have guessed 
Day by day 
You're slowly running out of things to say 
So I may 
Ask you why, is it always me who has to try 
To make things feel right 
 
You never told me what you feel inside 
I thought you loved me now I realise 
No matter how I try 
You never seem to be 
Satisfied 
Now you're telling me it's 
 
Too bad baby that you're so good to me 
I like you, you love me 
Too bad baby you're so into me 
I can't breathe 
You fall in love too easily 
 
Too bad baby that you're so good to me 
I like you, you love me 
Too bad baby you're so into me 
I can't breathe 
You fall in love too easily 
 
Me and you 
Are slowly running out of things to do 
Nothing new, I don't know 
Why we don't agree 
When I say, ""Yes,"" you say, ""No"" 
Don't be shy 
Please tell me why it is that we don't see 
Eye to eye 
So confused 
I'm feeling helpless and I'm feeling used 
Like yesterdays news girl 
 
You never told me what you feel inside 
I thought you loved me now I realise 
No matter how I try 
You never seem to be 
Satisfied 
Now you're telling me it's 
 
Too bad baby that you're so good to me 
I like you, you love me 
Too bad baby you're so into me 
I can't breathe 
You fall in love too easily 
 
It started from the day I met her 
Walk all over me I let her 
Friends who told me go and get her 
They're telling me forget her 
Too bad baby think I'm going crazy 
Someone take me nothing's gonna save me 
 
Too bad baby that you're so good to me 
I like you, you love me 
Too bad baby you're so into me 
I can't breathe 
You fall in love too easily
"
a1,Nothing But Trouble,"

Let me tell you 'bout this girl that once was mine 
Once upon a time 
She's nothing but trouble 
 
Up 'til now was a man of common senses 
Funny how I just give up on my defences 
But she's one of a kind (she's one of a kind) 
Just a girl that can easily twist your mind 
But right now it feels so fine 
 
She's nothing but trouble 
Trouble's her name 
She's drivin' me crazy 
It's kind of insane 
I'm searching for reason 
To letting her go 
'Cause somewhere inside of me I know 
She's nothing but trouble 
Nothing but trouble 
 
Everyone says I'm playing a game with fire (oh yeah) 
It's too late I'm just caught up in my 
Desire 
Ooh... yeah 
 
'Cause she's one of a kind (she's one of a kind) 
Just a girl that can easily twist your mind ooh 
But right now it feels so fine 
 
She's nothing but trouble 
Trouble's her name 
She's drivin' me crazy 
It's kind of insane 
I'm searching for reason 
To letting her go 
'Cause somewhere inside of me I know 
She's nothing but trouble 
Nothing but trouble 
 
When I look in her eyes (In her eyes) 
It's just so hard to take anyone's advice (ooh) 
But somewhere I realize 
 
She's nothing but trouble (yeah) 
Trouble's her name 
She's drivin' me crazy 
It's kind of insane 
I'm searching for reason 
To letting her go 
'Cause somewhere inside of me I know 
She's nothing but trouble 
Trouble's her name (trouble's her name) 
She's drivin' me crazy (driving me crazy) 
It's kind of insane (kind of insane) 
I'm searching for reason (I'm searching for reason) 
To letting her go (letting her go) 
'Cause somewhere inside of me I know 
She's nothing but trouble
"
a1,Tomorrow,"

Ah 
You used to say, everyday 
We will always be this way 
Flying angels lifting high 
To reach the sun where I belong 
Girl you know you are the one 
Above the clouds I see you cry 
 
You know that when you smile 
You stop the rain (stop the rain) 
And we will be together 
Once again 
 
Although I'm gone remember me 
Please be strong 
I'll never leave 
And just hold on 
To the memories 
'Cause while I'm here 
All I'm thinking about is 
Tomorrow 
 
I've always known 
The love you've show 
Means you'll never be alone 
There'll be times you wonder why ooh 
Seeing you with someone new 
Used to make me feel so blue 
But now I'm with you 
All the time 
 
Ooh... 'Cause you know that when you smile 
You stop the rain (stop the rain) 
And we will be together once again 
 
Although I'm gone remember me 
Please be strong 
I'll never leave 
And just hold on 
To the memories 
'Cause while I'm here 
All I'm thinking about is 
Tomorrow 
 
From the moment that I looked into your eyes 
All of my life I thought I'd be there 
By your side, I wish I'd took the time to find 
The words to say (to say) 
You know that when you smile 
You stop the rain (yeah) 
And we will be together once again 
 
Although I'm gone remember me 
Please be strong 
I'll never leave 
Just hold on 
To the memories 
'Cause while I'm here 
All I'm thinking about is 
Tomorrow 
 
'Cause while I'm here 
All I'm thinking about is 
Tomorrow
"
